=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2011.06.08 17:04:38 =~=~=~=~=~=~=~=~=~=~=~=
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1566, Data: 5,66,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1567, Data: 5,67,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1568, Data: 5,68,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1569, Data: 5,69,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1570, Data: 5,70,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1571, Data: 5,71,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1572, Data: 5,72,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1573, Data: 5,73,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1574, Data: 5,74,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1575, Data: 5,75,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1576, Data: 5,76,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1577, Data: 5,77,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1578, Data: 5,78,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1579, Data: 5,79,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1580, Data: 5,80,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1581, Data: 5,81,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1582, Data: 5,82,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1583, Data: 5,83,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1584, Data: 5,84,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1585, Data: 5,85,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1586, Data: 5,86,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1587, Data: 5,87,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1588, Data: 5,88,0,u,
